"filename", "language", "CMake", "Ignore", "comment", "blank", "total"
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxxabi/cmake/Modules/HandleCompilerRT.cmake", "CMake", 63, 0, 0, 2, 65
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxxabi/cmake/Modules/HandleLibcxxabiFlags.cmake", "CMake", 213, 0, 0, 30, 243
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxxabi/cmake/Modules/MacroEnsureOutOfSourceBuild.cmake", "CMake", 15, 0, 0, 4, 19
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxxabi/cmake/config-ix.cmake", "CMake", 93, 0, 0, 8, 101
"/home/xiaoyu/gradDesign/llvm-project-postgres/libunwind/cmake/Modules/HandleCompilerRT.cmake", "CMake", 63, 0, 0, 2, 65
"/home/xiaoyu/gradDesign/llvm-project-postgres/libunwind/cmake/Modules/HandleLibunwindFlags.cmake", "CMake", 249, 0, 0, 35, 284
"/home/xiaoyu/gradDesign/llvm-project-postgres/libunwind/cmake/config-ix.cmake", "CMake", 95, 0, 0, 11, 106
"/home/xiaoyu/gradDesign/llvm-project-postgres/lld/cmake/modules/AddLLD.cmake", "CMake", 56, 0, 0, 10, 66
"/home/xiaoyu/gradDesign/llvm-project-postgres/lld/cmake/modules/FindVTune.cmake", "CMake", 26, 0, 0, 6, 32
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/caches/Apple-lldb-Linux.cmake", "CMake", 7, 0, 0, 2, 9
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/caches/Apple-lldb-Xcode.cmake", "CMake", 10, 0, 0, 5, 15
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/caches/Apple-lldb-base.cmake", "CMake", 7, 0, 0, 3, 10
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/caches/Apple-lldb-macOS.cmake", "CMake", 22, 0, 0, 6, 28
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/modules/AddLLDB.cmake", "CMake", 312, 0, 0, 43, 355
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/modules/FindCursesAndPanel.cmake", "CMake", 22, 0, 0, 3, 25
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/modules/FindLibEdit.cmake", "CMake", 57, 0, 0, 8, 65
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/modules/FindLuaAndSwig.cmake", "CMake", 29, 0, 0, 3, 32
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/modules/FindPythonAndSwig.cmake", "CMake", 62, 0, 0, 7, 69
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/modules/LLDBConfig.cmake", "CMake", 270, 0, 0, 49, 319
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/modules/LLDBFramework.cmake", "CMake", 109, 0, 0, 22, 131
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/modules/LLDBGenerateConfig.cmake", "CMake", 37, 0, 0, 10, 47
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/modules/LLDBStandalone.cmake", "CMake", 86, 0, 0, 21, 107
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/modules/debugserverConfig.cmake", "CMake", 2, 0, 0, 2, 4
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/include/lldb/Host/Config.h.cmake", "CMake", 34, 0, 0, 26, 60
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/config-ix.cmake", "CMake", 619, 0, 0, 73, 692
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/AddLLVM.cmake", "CMake", 1971, 0, 0, 235, 2206
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/AddLLVMDefinitions.cmake", "CMake", 15, 0, 0, 3, 18
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/AddOCaml.cmake", "CMake", 195, 0, 0, 34, 229
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/AddSphinxTarget.cmake", "CMake", 100, 0, 0, 14, 114
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/CheckAtomic.cmake", "CMake", 103, 0, 0, 10, 113
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/CheckCompilerVersion.cmake", "CMake", 113, 0, 0, 13, 126
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/ChooseMSVCCRT.cmake", "CMake", 94, 0, 0, 13, 107
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/CrossCompile.cmake", "CMake", 99, 0, 0, 18, 117
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/DetermineGCCCompatible.cmake", "CMake", 12, 0, 0, 2, 14
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/FindGRPC.cmake", "CMake", 137, 0, 0, 10, 147
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/FindLibpfm.cmake", "CMake", 33, 0, 0, 5, 38
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/FindOCaml.cmake", "CMake", 88, 0, 0, 16, 104
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/FindSphinx.cmake", "CMake", 23, 0, 0, 5, 28
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/FindZ3.cmake", "CMake", 92, 0, 0, 19, 111
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/GenerateVersionFromVCS.cmake", "CMake", 44, 0, 0, 8, 52
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/GetErrcMessages.cmake", "CMake", 38, 0, 0, 6, 44
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/GetHostTriple.cmake", "CMake", 41, 0, 0, 2, 43
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/GetLibraryName.cmake", "CMake", 17, 0, 0, 1, 18
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/HandleLLVMOptions.cmake", "CMake", 1117, 0, 0, 115, 1232
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/HandleLLVMStdlib.cmake", "CMake", 49, 0, 0, 6, 55
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/LLVM-Build.cmake", "CMake", 90, 0, 0, 15, 105
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/LLVM-Config.cmake", "CMake", 329, 0, 0, 30, 359
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/LLVMCheckLinkerFlag.cmake", "CMake", 16, 0, 0, 3, 19
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/LLVMDistributionSupport.cmake", "CMake", 240, 0, 0, 23, 263
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/LLVMExternalProjectUtils.cmake", "CMake", 330, 0, 0, 36, 366
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/LLVMInstallSymlink.cmake", "CMake", 16, 0, 0, 5, 21
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/LLVMProcessSources.cmake", "CMake", 105, 0, 0, 16, 121
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/TableGen.cmake", "CMake", 179, 0, 0, 21, 200
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/TensorFlowCompile.cmake", "CMake", 105, 0, 0, 15, 120
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/UseLibtool.cmake", "CMake", 45, 0, 0, 6, 51
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/modules/VersionFromVCS.cmake", "CMake", 50, 0, 0, 2, 52
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/platforms/Android.cmake", "CMake", 23, 0, 0, 7, 30
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/platforms/ClangClCMakeCompileRules.cmake", "CMake", 9, 0, 0, 1, 10
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/platforms/WinMsvc.cmake", "CMake", 291, 0, 0, 35, 326
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/cmake/platforms/iOS.cmake", "CMake", 89, 0, 0, 14, 103
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/include/llvm/Config/abi-breaking.h.cmake", "CMake", 54, 0, 0, 9, 63
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/include/llvm/Config/config.h.cmake", "CMake", 238, 0, 0, 118, 356
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/include/llvm/Config/llvm-config.h.cmake", "CMake", 72, 0, 0, 33, 105
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/utils/benchmark/cmake/AddCXXCompilerFlag.cmake", "CMake", 68, 0, 0, 7, 75
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/utils/benchmark/cmake/CXXFeatureCheck.cmake", "CMake", 60, 0, 0, 5, 65
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/utils/benchmark/cmake/GetGitVersion.cmake", "CMake", 50, 0, 0, 5, 55
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/utils/benchmark/cmake/HandleGTest.cmake", "CMake", 107, 0, 0, 7, 114
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/utils/benchmark/cmake/Modules/FindLLVMAr.cmake", "CMake", 13, 0, 0, 4, 17
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/utils/benchmark/cmake/Modules/FindLLVMNm.cmake", "CMake", 13, 0, 0, 4, 17
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/utils/benchmark/cmake/Modules/FindLLVMRanLib.cmake", "CMake", 12, 0, 0, 4, 16
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/utils/benchmark/cmake/llvm-toolchain.cmake", "CMake", 6, 0, 0, 3, 9
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/utils/benchmark/cmake/split_list.cmake", "CMake", 3, 0, 0, 1, 4
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/utils/benchmark/test/AssemblyTests.cmake", "CMake", 39, 0, 0, 7, 46
"/home/xiaoyu/gradDesign/llvm-project-postgres/llvm/utils/vscode/llvm/.vscodeignore", "Ignore", 0, 7, 0, 0, 7
"/home/xiaoyu/gradDesign/llvm-project-postgres/mlir/cmake/modules/AddMLIR.cmake", "CMake", 225, 0, 0, 21, 246
"/home/xiaoyu/gradDesign/llvm-project-postgres/mlir/cmake/modules/AddMLIRPython.cmake", "CMake", 485, 0, 0, 41, 526
"/home/xiaoyu/gradDesign/llvm-project-postgres/mlir/cmake/modules/MLIRDetectPythonEnv.cmake", "CMake", 25, 0, 0, 2, 27
"/home/xiaoyu/gradDesign/llvm-project-postgres/mlir/utils/vscode/.vscodeignore", "Ignore", 0, 4, 0, 1, 5
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/cmake/HandleOpenMPOptions.cmake", "CMake", 28, 0, 0, 5, 33
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/cmake/OpenMPTesting.cmake", "CMake", 201, 0, 0, 19, 220
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/cmake/config-ix.cmake", "CMake", 13, 0, 0, 5, 18
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/libomptarget/cmake/Modules/LibomptargetGetDependencies.cmake", "CMake", 245, 0, 0, 35, 280
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/libomptarget/cmake/Modules/LibomptargetUtils.cmake", "CMake", 24, 0, 0, 4, 28
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/runtime/cmake/LibompCheckFortranFlag.cmake", "CMake", 25, 0, 0, 3, 28
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/runtime/cmake/LibompCheckLinkerFlag.cmake", "CMake", 63, 0, 0, 6, 69
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/runtime/cmake/LibompDefinitions.cmake", "CMake", 27, 0, 0, 4, 31
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/runtime/cmake/LibompExports.cmake", "CMake", 88, 0, 0, 7, 95
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/runtime/cmake/LibompGetArchitecture.cmake", "CMake", 76, 0, 0, 11, 87
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/runtime/cmake/LibompHandleFlags.cmake", "CMake", 175, 0, 0, 8, 183
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/runtime/cmake/LibompMicroTests.cmake", "CMake", 226, 0, 0, 8, 234
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/runtime/cmake/LibompUtils.cmake", "CMake", 185, 0, 0, 14, 199
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/runtime/cmake/config-ix.cmake", "CMake", 325, 0, 0, 18, 343
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/runtime/src/kmp_config.h.cmake", "CMake", 120, 0, 0, 8, 128
"/home/xiaoyu/gradDesign/llvm-project-postgres/openmp/tools/Modules/FindOpenMPTarget.cmake", "CMake", 287, 0, 0, 52, 339
"/home/xiaoyu/gradDesign/llvm-project-postgres/polly/cmake/FindISL.cmake", "CMake", 21, 0, 0, 4, 25
"/home/xiaoyu/gradDesign/llvm-project-postgres/polly/cmake/polly_macros.cmake", "CMake", 89, 0, 0, 10, 99
"/home/xiaoyu/gradDesign/llvm-project-postgres/polly/include/polly/Config/config.h.cmake", "CMake", 16, 0, 0, 3, 19
"/home/xiaoyu/gradDesign/llvm-project-postgres/polly/lib/External/isl_config.h.cmake", "CMake", 37, 0, 0, 20, 57
"/home/xiaoyu/gradDesign/llvm-project-postgres/polly/lib/External/isl_srcdir.c.cmake", "CMake", 1, 0, 0, 1, 2
"/home/xiaoyu/gradDesign/llvm-project-postgres/utils/bazel/llvm_configs/abi-breaking.h.cmake", "CMake", 54, 0, 0, 9, 63
"/home/xiaoyu/gradDesign/llvm-project-postgres/utils/bazel/llvm_configs/config.h.cmake", "CMake", 238, 0, 0, 118, 356
"/home/xiaoyu/gradDesign/llvm-project-postgres/utils/bazel/llvm_configs/llvm-config.h.cmake", "CMake", 72, 0, 0, 33, 105
"Total", "-", 20140, 11, 0, 2753, 22904